UID2021,UTMX,UTMY,LatinName,CommonName,SpeciesID,PositionSt,lat,long
322,454138.58,4942391.82,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63341924,-63.57820957
323,454134.15,4942414.37,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63362195,-63.57826744
324,454130.01,4942413.09,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63361017,-63.57831952
325,454128.1,4942415.03,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63362751,-63.57834377
326,454122.28,4942415.38,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63363029,-63.57841718
327,454117.96,4942411.52,Robinia pseudoacacia,Black Locust,107,Good - Ground Truthed,44.63359526,-63.57847129
328,454114.56,4942405.67,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63354238,-63.57851363
329,454108.18,4942412.41,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63360265,-63.57859467
330,454102.94,4942413.42,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63361141,-63.57866082
331,454072.1,4942404.9,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63353274,-63.57904886
332,454066.98,4942402.56,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63351135,-63.5791132
333,454065.47,4942394.9,Ulmus glabra,Elm,121,Good - Ground Truthed,44.6334423,-63.57913155
334,454059.27,4942392.52,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63342047,-63.57920951
335,454051.52,4942389.35,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63339144,-63.57930693
336,454047.07,4942388.74,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63338567,-63.57936297
